num=500,forest-01,denseresidential-55,intersection-07,denseresidential-53,buildings-94,buildings-20,denseresidential-07,denseresidential-19,river-37,denseresidential-62,
river-44,0.324005,0.245605,0.235092,0.252670,0.328949,0.244019,0.244003,0.258972,0.197952,0.223419,
forest-32,0.511734,0.436478,0.241272,0.539780,0.267654,0.287537,0.277847,0.354416,0.449081,0.280869,
forest-52,0.151215,0.251602,0.172989,0.245911,0.288651,0.175491,0.171326,0.236328,0.164673,0.214844,
forest-94,0.285721,0.293289,0.258972,0.292206,0.396240,0.246979,0.278290,0.291779,0.278717,0.272308,
intersection-09,0.306427,0.237717,0.186295,0.252426,0.258926,0.180771,0.189590,0.221848,0.227310,0.212952,
intersection-78,0.221786,0.202011,0.134399,0.213394,0.209808,0.138809,0.141144,0.182480,0.164505,0.181610,
denseresidential-55,0.807846,0.332962,0.448044,0.347717,0.464386,0.473434,0.492691,0.413696,0.447495,0.347794,
forest-41,0.201874,0.316727,0.227081,0.337128,0.352280,0.233414,0.226669,0.270325,0.225723,0.300278,
river-02,0.783722,0.367279,0.389450,0.376953,0.335449,0.530182,0.463196,0.457092,0.598572,0.331818,
forest-78,0.329025,0.304199,0.278717,0.300705,0.416397,0.265030,0.302460,0.315628,0.293411,0.283966,
buildings-21,0.465302,0.253845,0.193161,0.263458,0.248962,0.169342,0.181686,0.212784,0.252396,0.222900,
buildings-70,1.217300,0.502686,0.775757,0.385178,0.305023,1.086670,0.840210,0.572021,0.958557,0.671295,
intersection-43,0.718414,0.315552,0.325974,0.318558,0.330032,0.346252,0.342194,0.317612,0.310898,0.303177,
intersection-44,0.443604,0.229385,0.201126,0.236588,0.247299,0.212036,0.210739,0.210693,0.207642,0.212311,
river-10,0.391434,0.246277,0.220963,0.256821,0.274200,0.291275,0.278809,0.290115,0.333801,0.214890,
intersection-62,0.923065,0.279480,0.410843,0.283691,0.362640,0.437744,0.429138,0.349670,0.428528,0.299118,
forest-09,0.901505,0.371643,0.454910,0.368774,0.344513,0.700928,0.558350,0.505768,0.710007,0.350174,
denseresidential-52,0.603104,0.273804,0.340302,0.268692,0.386368,0.342606,0.353821,0.303757,0.292938,0.267899,
forest-15,0.550201,0.330093,0.332016,0.353241,0.344666,0.459946,0.429916,0.440125,0.523743,0.307098,
river-58,0.334976,0.314423,0.286255,0.332199,0.395096,0.273499,0.297134,0.310455,0.332291,0.307205,
buildings-28,1.001556,0.414444,0.556351,0.414597,0.285919,0.483444,0.423050,0.402298,0.757172,0.459839,
denseresidential-06,0.585007,0.362946,0.208496,0.408569,0.245911,0.188873,0.181091,0.252731,0.375092,0.289200,
intersection-72,0.829346,0.438568,0.384857,0.489868,0.321960,0.450790,0.412827,0.427063,0.557785,0.356201,
intersection-58,1.287201,0.404541,0.348541,0.415085,0.194504,0.627686,0.404602,0.381271,0.636978,0.294312,
intersection-59,0.641525,0.274811,0.245789,0.276932,0.286819,0.225616,0.239059,0.247971,0.268692,0.249329,
river-93,0.207993,0.214569,0.163788,0.228027,0.274048,0.168671,0.177444,0.224213,0.169235,0.194809,
forest-47,0.165192,0.269684,0.193512,0.259293,0.316132,0.193069,0.188278,0.254089,0.179062,0.226669,
intersection-41,1.002686,0.379303,0.408447,0.388412,0.344666,0.413940,0.398331,0.358582,0.413101,0.368118,
forest-23,0.542862,0.297028,0.313873,0.306610,0.365173,0.368439,0.396164,0.400177,0.440353,0.290039,
buildings-32,1.112183,0.324554,0.459885,0.328629,0.332687,0.454041,0.439041,0.341003,0.407501,0.374771,
buildings-55,1.395752,0.342392,0.571274,0.344543,0.354187,0.597031,0.604767,0.447845,0.661011,0.385284,
river-86,0.173004,0.269516,0.167831,0.300507,0.260010,0.172852,0.172714,0.220398,0.234222,0.257629,
forest-16,0.663742,0.270599,0.294952,0.265564,0.290222,0.313156,0.313690,0.315384,0.386673,0.246994,
river-35,0.304718,0.248138,0.230927,0.256897,0.324341,0.245438,0.244492,0.258621,0.200577,0.226593,
forest-76,0.225006,0.256638,0.214340,0.262894,0.345016,0.213654,0.223434,0.256470,0.213028,0.237656,
buildings-86,1.223297,0.332474,0.479462,0.324677,0.265472,0.832474,0.635376,0.523697,0.939407,0.301025,
forest-66,0.284210,0.242630,0.201691,0.261856,0.299438,0.214386,0.218704,0.241592,0.205688,0.222275,
buildings-16,0.586746,0.325134,0.238907,0.338989,0.247665,0.198074,0.201004,0.237503,0.344894,0.283051,
buildings-11,0.401154,0.217422,0.183243,0.217819,0.247635,0.159073,0.172134,0.193741,0.208786,0.187927,
denseresidential-07,0.470306,0.315475,0.191498,0.338715,0.245331,0.174347,0.165451,0.223892,0.302933,0.265518,
forest-04,0.203232,0.264359,0.209030,0.281982,0.301132,0.200256,0.211685,0.245514,0.282822,0.236511,
denseresidential-26,0.972931,0.398941,0.421936,0.402191,0.345291,0.402420,0.387817,0.368393,0.454956,0.380646,
forest-51,0.150711,0.257065,0.175827,0.245804,0.291656,0.177414,0.173248,0.241623,0.165100,0.215286,
forest-29,0.871552,0.565811,0.230713,0.713028,0.225174,0.227676,0.199585,0.368546,0.548416,0.299271,
buildings-07,0.574448,0.296112,0.262543,0.316849,0.267929,0.247421,0.285828,0.307419,0.465775,0.264099,
river-41,0.334229,0.212006,0.205582,0.212677,0.285065,0.215698,0.217545,0.217087,0.179428,0.192322,
intersection-08,0.300201,0.265198,0.191650,0.286591,0.264252,0.187714,0.194473,0.229538,0.264038,0.238815,
river-42,0.345627,0.228027,0.218506,0.234497,0.297302,0.229462,0.229584,0.233292,0.193420,0.208420,
denseresidential-15,0.962875,0.345566,0.366516,0.355408,0.314072,0.371841,0.359711,0.314240,0.362671,0.337234,
river-23,0.359451,0.318115,0.257019,0.346603,0.294876,0.271515,0.283417,0.299667,0.369568,0.303436,
denseresidential-28,0.832092,0.360489,0.395615,0.362289,0.338837,0.362076,0.355927,0.334152,0.416428,0.350937,
river-56,0.443008,0.432709,0.373856,0.476227,0.447067,0.378159,0.368027,0.363419,0.401794,0.434875,
forest-07,0.672806,0.425507,0.374374,0.467957,0.365891,0.479263,0.444351,0.467529,0.550446,0.348389,
denseresidential-98,1.118118,0.216293,0.283997,0.209335,0.281418,0.243729,0.293045,0.294510,0.259018,0.208588,
forest-55,0.267822,0.250214,0.229935,0.252457,0.343185,0.227203,0.241074,0.276077,0.219528,0.226562,
intersection-52,0.795944,0.503784,0.173187,0.662552,0.164078,0.176300,0.143951,0.325592,0.544571,0.224457,
intersection-00,0.767975,0.253418,0.221451,0.264679,0.235519,0.165100,0.181213,0.223389,0.257339,0.214966,
buildings-35,1.065765,0.408569,0.585709,0.414215,0.432373,0.659637,0.603180,0.515656,0.809753,0.419128,
buildings-36,1.043610,0.263092,0.278580,0.267029,0.279633,0.226791,0.259537,0.272064,0.278442,0.256317,
intersection-80,0.690323,0.433441,0.406464,0.459229,0.382462,0.376328,0.403824,0.410751,0.556625,0.436951,
forest-59,0.157852,0.267273,0.195053,0.259521,0.330902,0.189148,0.186050,0.246750,0.184814,0.219254,
intersection-03,0.347794,0.241425,0.192719,0.254883,0.259399,0.191956,0.201080,0.230316,0.244644,0.219223,
river-62,0.443100,0.451218,0.368744,0.501419,0.453445,0.374054,0.365891,0.361359,0.426697,0.449554,
buildings-85,0.771622,0.314743,0.400513,0.311615,0.255768,0.750992,0.545914,0.522568,0.775558,0.315933,
denseresidential-49,1.198776,0.506363,0.352005,0.558304,0.236084,0.413467,0.345337,0.389008,0.648407,0.397232,
river-06,0.548111,0.335449,0.246155,0.365326,0.284866,0.282501,0.266937,0.303757,0.337494,0.256622,
buildings-58,1.168594,0.274673,0.428650,0.274612,0.362167,0.443649,0.444412,0.347946,0.369583,0.312057,
intersection-48,1.026016,0.483322,0.189392,0.631851,0.143173,0.187286,0.160339,0.320740,0.548218,0.204453,
river-01,0.829834,0.357880,0.400208,0.364502,0.346802,0.519348,0.487411,0.456665,0.619904,0.339279,
buildings-67,0.663315,0.267227,0.331406,0.263260,0.372589,0.318924,0.324463,0.294128,0.293854,0.259277,
forest-31,0.483032,0.427948,0.251541,0.521164,0.281662,0.305420,0.299545,0.359299,0.436340,0.292252,
intersection-63,1.130936,0.317856,0.496567,0.320831,0.392471,0.547119,0.523071,0.403885,0.506897,0.353241,
intersection-24,0.808548,0.338745,0.356125,0.345581,0.322678,0.470428,0.426620,0.416794,0.535248,0.316528,
buildings-18,0.792343,0.362839,0.236862,0.398941,0.238342,0.209503,0.203979,0.270676,0.424454,0.297974,
forest-74,0.524750,0.290863,0.307297,0.304794,0.354935,0.402710,0.412552,0.415237,0.442764,0.289124,
intersection-25,0.993423,0.302094,0.279251,0.310898,0.229980,0.318253,0.287964,0.287613,0.389023,0.252472,
river-04,0.876038,0.363022,0.400970,0.368835,0.336487,0.541351,0.476944,0.446671,0.585434,0.335648,
